raceid,keyrace,uncontested,first,last,gender,party,winner,votes,pct
ILH17,FALSE,FALSE,Bill,Fawell,male,R,FALSE,84381,38.1
ILH18,FALSE,FALSE,Darin,LaHood,male,R,TRUE,193589,67.2
ILH18,FALSE,FALSE,Junius,Rodriguez,male,D,FALSE,94508,32.8
GAH01,FALSE,FALSE,Buddy,Carter,male,R,TRUE,144742,57.7
GAH01,FALSE,FALSE,Lisa,Ring,female,D,FALSE,105942,42.3
GAH02,FALSE,FALSE,Sanford,Bishop,male,D,TRUE,136700,59.6
GAH02,FALSE,FALSE,Herman,West,male,R,FALSE,92471,40.4
GAH03,FALSE,FALSE,Drew,Ferguson,male,R,TRUE,191996,65.5
GAH03,FALSE,FALSE,Charles,Enderlin,male,D,FALSE,101010,34.5
GAH04,FALSE,FALSE,Hank,Johnson,male,D,TRUE,227717,78.8
GAH04,FALSE,FALSE,Joe,Profit,male,R,FALSE,61092,21.2
GAH05,FALSE,TRUE,John,Lewis,male,D,TRUE,275406,100
GAH06,TRUE,FALSE,Lucy,McBath,female,D,TRUE,160139,50.5
GAH06,TRUE,FALSE,Karen,Handel,female,R,FALSE,156875,49.5
GAH07,TRUE,FALSE,Rob,Woodall,male,R,FALSE,140430,50.1
GAH07,TRUE,FALSE,Carolyn,Bourdeaux,female,D,FALSE,140011,49.9
GAH08,FALSE,TRUE,Austin,Scott,male,R,TRUE,198152,100
GAH09,FALSE,FALSE,Doug,Collins,male,R,TRUE,224665,79.5
GAH09,FALSE,FALSE,Josh,McCall,male,D,FALSE,57925,20.5
GAH10,FALSE,FALSE,Jody,Hice,male,R,TRUE,190395,62.9
GAH10,FALSE,FALSE,Tabitha,Johnson-Green,female,D,FALSE,112346,37.1
GAH11,FALSE,FALSE,Barry,Loudermilk,male,R,TRUE,191887,61.8
GAH11,FALSE,FALSE,Flynn,Broady,male,D,FALSE,118653,38.2
GAH12,FALSE,FALSE,Rick,Allen,male,R,TRUE,148986,59.5
GAH12,FALSE,FALSE,Francys,Johnson,male,D,FALSE,101503,40.5
GAH13,FALSE,FALSE,David,Scott,male,D,TRUE,223157,76.2
GAH13,FALSE,FALSE,David,Callahan,male,R,FALSE,69760,23.8
GAH14,FALSE,FALSE,Tom,Graves,male,R,TRUE,175743,76.5
GAH14,FALSE,FALSE,Steven,Foster,male,D,FALSE,53981,23.5
HIH01,FALSE,FALSE,Ed,Case,male,D,TRUE,134650,73.1
HIH01,FALSE,FALSE,Cam,Cavasso,male,R,FALSE,42498,23.1
HIH02,FALSE,FALSE,Tulsi,Gabbard,female,D,TRUE,153271,77.4
HIH02,FALSE,FALSE,Brian,Evans,male,R,FALSE,44850,22.6
IDH01,FALSE,FALSE,Russ,Fulcher,male,R,TRUE,197151,62.7
IDH01,FALSE,FALSE,Cristina,McNeil,female,D,FALSE,96909,30.8
IDH02,FALSE,FALSE,Mike,Simpson,male,R,TRUE,170280,60.7
IDH02,FALSE,FALSE,Aaron,Swisher,male,D,FALSE,110386,39.3
ILH01,FALSE,FALSE,Bobby,Rush,male,D,TRUE,186403,73.4
ILH01,FALSE,FALSE,Jimmy,Tillman,male,R,FALSE,50521,19.9
ILH02,FALSE,FALSE,Robin,Kelly,female,D,TRUE,188342,81
ILH02,FALSE,FALSE,David,Merkle,male,R,FALSE,44303,19
ILH03,FALSE,FALSE,Dan,Lipinski,male,D,TRUE,160501,73.7
ILH03,FALSE,FALSE,Art,Jones,male,R,FALSE,57298,26.3
ILH04,FALSE,FALSE,Jesus 'Chuy',Garcia,male,D,TRUE,141446,86.5
ILH04,FALSE,FALSE,Mark,Lorch,male,R,FALSE,22047,13.5
ILH05,FALSE,FALSE,Mike,Quigley,male,D,TRUE,208427,76.5
ILH05,FALSE,FALSE,Tom,Hanson,male,R,FALSE,64166,23.5
ILH06,TRUE,FALSE,Sean,Casten,male,D,TRUE,157336,52.9
ILH06,TRUE,FALSE,Peter,Roskam,male,R,FALSE,140254,47.1
ILH07,FALSE,FALSE,Danny,Davis,male,D,TRUE,211134,87.6
ILH07,FALSE,FALSE,Craig,Cameron,male,R,FALSE,29862,12.4
ILH08,FALSE,FALSE,Raja,Krishnamoorthi,male,D,TRUE,126901,65.7
ILH08,FALSE,FALSE,Jitendra,Diganvker,male,R,FALSE,66153,34.3
ILH09,FALSE,FALSE,Jan,Schakowsky,female,D,TRUE,209849,73.3
